Groups,Variable List
Grp_Unsecured,hasUnsecuredInstallment
Grp_Unsecured,NumberUnsecuredInstallment
Grp_Unsecured,hasActiveUnsecuredInstallment
Grp_Unsecured,NumberActiveUnsecuredInstallment
Grp_Unsecured,MaxUnsecuredInstallmentInterestRate
Grp_Unsecured,MinUnsecuredInstallmentInterestRate
Grp_Unsecured,MaxActiveUnsecuredInstallmentInterestRate
Grp_Unsecured,MinActiveUnsecuredInstallmentInterestRate
Grp_Unsecured,LatestActiveUnsecuredInstallmentInterestRate
Grp_Unsecured,MonthsSinceLastestUnsecured
Grp_Unsecured,AvgUnsecuredInstallmentInterestRate
Grp_Unsecured,AvgActiveUnsecuredInstallmentInterestRate
Grp_Tradelines,HasCreditCard
Grp_Tradelines,NumberCreditCard
Grp_Tradelines,HasActiveCreditCard
Grp_Tradelines,NumberActiveCreditCard
Grp_Tradelines,TotalAmountPastDueTradelines 
Grp_Tradelines,hasInstallTrade
Grp_Tradelines,NumberInstallmentTrades
Grp_Tradelines,hasActiveInstallTrade
Grp_Tradelines,NumberActiveInstallmentTrades
Grp_Tradelines,hasLineofCredit
Grp_Tradelines,NumberLineofCredit
Grp_Tradelines,hasActiveLineofCredit
Grp_Tradelines,NumberActiveLineofCredit
Grp_Tradelines,hasHELOC
Grp_Tradelines,NumberHELOC
Grp_Tradelines,hasActiveHELOC
Grp_Tradelines,NumberActiveHELOC
Grp_Tradelines,hasSecuredInstallment
Grp_Tradelines,NumberSecuredInstallment
Grp_Tradelines,hasActiveSecuredInstallment
Grp_Tradelines,NumberActiveSecuredInstallment
Grp_Tradelines,hasStudentLoan
Grp_Tradelines,NumberStudentLoan
Grp_Tradelines,hasActiveStudentLoan
Grp_Tradelines,NumberActiveStudentLoan
Grp_Tradelines,hasAutoLoan
Grp_Tradelines,NumberAutoLoan
Grp_Tradelines,hasActiveAutoLoan
Grp_Tradelines,NumberActiveAutoLoan
Grp_Tradelines,TotalAmountCurrentBalance
Grp_Tradelines,NumberTradelines
Grp_Tradelines,hasActiveChargeAccount
Grp_Tradelines,NumberActiveCharge
Grp_Tradelines,NumberActiveTradelines
Grp_Tradelines,TotalAmountBalanceOnCreditLines
Grp_Tradelines,LengthOfCreditHistory
Grp_Tradelines,hasMortgage
Grp_Tradelines,NumberMortgage
Grp_Tradelines,hasActiveMortgage
Grp_Tradelines,NumberActiveMortgage
Grp_Utilization,MinUtilization
Grp_Utilization,MaxUtilization
Grp_Utilization,AvgUtilization
Grp_Utilization,MinCreditCardUtil
Grp_Utilization,MaxCreditCardUtil
Grp_Utilization,AverageCreditCardUtil
Grp_Utilization,MinChargeCardUtil
Grp_Utilization,MaxChargeCardUtil
Grp_Utilization,AverageChargeCardUtil
Grp_Utilization,MinLineOfCreditUtil
Grp_Utilization,MaxLineOfCreditUtil
Grp_Utilization,AverageLineOfCreditUtil
Grp_Utilization,MinHELOCUtil
Grp_Utilization,MaxHELOCUtil
Grp_Utilization,AverageHELOCUtil
Grp_Utilization,MinBankRevolvingUtil
Grp_Utilization,MaxBankRevolvingUtil
Grp_Utilization,AverageBankRevolvingUtil
Grp_Utilization,MinFinanceRevolveUtil
Grp_Utilization,MaxFinanceRevolveUtil
Grp_Utilization,AverageFinanceRevolveUtil
Grp_Utilization,MinCreditUnionUtil
Grp_Utilization,MaxCreditUnionUtil
Grp_Utilization,AverageCreditUnionUtil
Grp_Utilization,MinRetailUtil
Grp_Utilization,MaxRetailUtil
Grp_Utilization,AverageRetailUtil
Grp_Utilization,MinRevolveUtil
Grp_Utilization,MaxRevolveUtil
Grp_Utilization,AverageRevolveUtil
Grp_Utilization,NumberTradeWithUtilAbove75
Grp_Utilization,WeightedAvgUtilization
Grp_Dqs,MonthsSinceMostRecentDq
Grp_Dqs,MonthsSinceMostRecentAutoDq
Grp_Dqs,MonthsSinceMostRecentInstallmentDq
Grp_Dqs,MonthsSinceMostRecentRevolvingDq
Grp_Dqs,MonthsSinceMostMortgageDq
Grp_Dqs,MonthsSinceMostRecentCreditCardDq
Grp_Dqs,MonthsSinceMostRecentStudentLoanDq
Grp_Dqs,NumberofDqPast12M
Grp_Dqs,NumberofMortgageDqPast12M
Grp_Dqs,NumberofTradeswDq30DPDPast24M
Grp_Dqs,NumberofTradesSinceMostRecentDqPast24M
Grp_Dqs,NumberofTradeswDq90DPDPast24M
Grp_Dqs,TotalBalanceAmountofDqTrades
Grp_Dqs,MaxDelinquencyAmount
Grp_Dqs,MonthsSinceMaxDelinquencyAmount
Grp_Dqs,NumberofDqTrades
Grp_Dqs,PercentageAccountEverDelinquent
Grp_Collections,NumberofCollections
Grp_Collections,NumberCollectionsPast6M
Grp_Collections,NumberCollectionsPast12M
Grp_Collections,NumberCollectionsPast1to5year
Grp_Collections,NumberCollectionsAmountGreater100
Grp_Collections,NumberNMCollections
Grp_Collections,NumberNMCollectionsPast6M
Grp_Collections,NumberNMCollectionsPast12M
Grp_Collections,NumberNMCollectionsPast1to5year
Grp_Collections,NumberNMCollectionsBalanceGreater100
Grp_Collections,TotalCollectionsAmountBalanceVerified12M
Grp_Collections,HighestCollectionsAmountVerified12M
Grp_Collections,TotalNMCollectionsAmountVerified12M
Grp_Collections,HighestNMCollectionsAmountVerified12M
Grp_Collections,HighestCollectionsAmount
Grp_Collections,HighestNMCollectionsAmount
Grp_Collections,TotalCollectionsAmount
Grp_Collections,TotalNMCollectionsAmount
Grp_Collections,MonthsSinceMostRecentCollection
Grp_Collections,MonthsSinceMostRecentNMCollection
Grp_Inqs,MonthsSinceMostRecentInquiry
Grp_Inqs,DaysSinceMostRecentInquiryPast1M
Grp_Inqs,NumberofInqs
Grp_Inqs,NumberofInqsPast1M
Grp_Inqs,NumberofInqsPast3M
Grp_Inqs,NumberofInqsPast6M
Grp_Inqs,NumberofInqsPast12M
Grp_Inqs,NumberofBankInqs
Grp_Inqs,NumberofBankInqsPast1M
Grp_Inqs,NumberofBankInqsPast3M
Grp_Inqs,NumberofBankInqsPast6M
Grp_Inqs,NumberofBankInqsPast12M
Grp_Inqs,NumberofFinanceInqs
Grp_Inqs,NumberofFinanceInqsPast1M
Grp_Inqs,NumberofFinanceInqsPast3M
Grp_Inqs,NumberofFinanceInqsPast6M
Grp_Inqs,NumberofFinanceInqsPast12M
Grp_Inqs,NumberofCUnionInqs
Grp_Inqs,NumberofCUnionInqsPast1M
Grp_Inqs,NumberofCUnionInqsPast3M
Grp_Inqs,NumberofCUnionInqsPast6M
Grp_Inqs,NumberofCUnionInqsPast12M
Grp_Inqs,NumberFBInqs
Grp_Inqs,NumberFBInqsPast1M
Grp_Inqs,NumberFBInqsPast3M
Grp_Inqs,NumberFBInqsPast6M
Grp_Inqs,NumberFBInqsPast12M
Grp_Inqs,NumberFBQInqs
Grp_Inqs,NumberFBQInqsPast1M
Grp_Inqs,NumberFBQInqsPast3M
Grp_Inqs,NumberFBQInqsPast6M
Grp_Inqs,NumberFBQInqsPast12M
Grp_PublicRecords,NumberofPublicRecords
Grp_PublicRecords,NumberofPublicRecordsPast6M
Grp_PublicRecords,NumberofPublicRecordsPast12M
Grp_PublicRecords,NumberofPublicRecordsPast7Y
Grp_PublicRecords,NumberofBankruptcy
Grp_PublicRecords,NumberofBankruptcyPast6M
Grp_PublicRecords,NumberofBankruptcyPast12M
Grp_PublicRecords,NumberofBankruptcyPast7Y
Grp_PublicRecords,AmountLiabilitiesPublicRecords
Grp_PublicRecords,AmountLiabilitiesPublicRecordsPast6M
Grp_PublicRecords,AmountLiabilitiesPublicRecordsPast12M
Grp_PublicRecords,AmountLiabilitiesPublicRecordsPast7Y
Grp_PublicRecords,AmountLiabilitiesBankruptcy
Grp_PublicRecords,AmountLiabilitiesBankruptcyPast6M
Grp_PublicRecords,AmountLiabilitiesBankruptcyPast12M
Grp_PublicRecords,AmountLiabilitiesBankruptcyPast7Y
Grp_PublicRecords,MonthsSinceMostRecentPublicRecord
Grp_PublicRecords,MonthsSinceMostRecentBankruptcy
